patient_id,identity_number,name,email,password,birth_date,gender,contact,postal_code,address,is_default_address,disability_type,sign_language_needed,enrolled_at
15,600304-2657871,이중수,ogja64@example.org,$*0Xw##roX,1960-03-04,여,010-4681-2049,83920,경기도 시흥시 경상남도 충주시 영동대9로 111-75,1,청각장애,1,2023-12-17 07:57:33
16,451114-1930103,성영숙,minjunhan@example.net,$1lkT$Wy^Z,1945-11-14,남,010-1514-6413,66822,경기도 고양시 세종특별자치시 강남구 선릉길 631 (경숙류최면),1,[],0,2023-12-06 02:03:14
17,960404-2738299,양상호,qcoe@example.com,13l0rdPk^&,1996-04-04,여,010-4981-8749,72402,경기도 광주시 경상남도 수원시 권선구 양재천길 314 (경자박이마을),1,"['청각장애','언어장애']",1,2024-12-19 00:56:48
18,640625-1165667,김민석,jeongsuseo@example.net,3fGQx*24#@,1964-06-25,남,010-2612-1993,17146,경기도 김포시 대구광역시 관악구 봉은사9거리 452 (승민김노리),0,[],0,2024-09-16 15:05:05
19,510406-1333872,최정수,seongjincoe@example.com,@rkDQLKpz3,1951-04-06,남,010-4006-5563,91987,경기도 광명시 전라북도 태안군 역삼길 77,1,"['청각장애','언어장애']",1,2023-06-08 22:32:21
20,531107-1781080,박경희,yeweon71@example.net,YZvJ4Ztz^$,1953-11-07,남,010-4872-3724,71433,경기도 광주시 울산광역시 강북구 반포대9로 619 (도윤김장마을),0,[],0,2024-02-14 14:54:12
21,800213-2360260,류은경,gyeongsugyun@example.com,9xMIB*Nu#b,1980-02-13,여,010-5345-8454,21542,경기도 의정부시 광주광역시 노원구 개포로 424-7 (미숙강리),0,"['청각장애','언어장애']",1,2023-05-07 08:40:07
22,820615-2234309,최지훈,fyang@example.org,eA@I9oZh!+,1982-06-15,여,010-6138-1936,71894,경기도 성남시 경상남도 천안시 서북구 개포길 765-18,0,[],0,2024-10-28 08:45:31
23,970103-1081219,이현숙,jeongsug44@example.net,)DSSL7EoU5,1997-01-03,남,010-4853-7615,59968,경기도 용인시 충청북도 철원군 테헤란거리 103 (경수김문읍),1,[],0,2023-11-10 00:00:22
24,481113-1916998,강승민,gojimin@example.net,r&5XUc9w&y,1948-11-13,남,010-5272-4346,13794,경기도 양평군 대전광역시 동구 양재천거리 150-32,0,언어장애,1,2024-11-13 02:17:44
25,760914-1462475,김미경,pgang@example.com,ZMb)29Hovz,1976-09-14,남,010-1152-8508,60422,경기도 안성시 강원도 구리시 석촌호수94거리 282 (서연임동),1,[],0,2024-06-08 14:32:54
26,991107-1838425,배지영,sumini@example.net,h$9_Iv#k#E,1999-11-07,남,010-5002-7054,64460,경기도 의정부시 충청남도 부천시 오정구 서초대424가 824,1,[],0,2024-10-17 12:58:11
27,510430-2849808,주준호,zju@example.net,^RLbbZmvm1,1951-04-30,여,010-2697-3200,89964,경기도 평택시 강원도 청양군 양재천612로 505-15,1,언어장애,1,2025-03-25 13:57:08
28,500326-1824493,박정남,ucoe@example.org,&w#F1Pt*cS,1950-03-26,남,010-4335-5325,34878,경기도 하남시 세종특별자치시 용산구 가락로 지하806,0,언어장애,1,2025-01-29 07:58:25
29,640824-2016400,김지은,seoyunsong@example.org,^p_Z6ta@@2,1964-08-24,여,010-3143-5291,32838,경기도 안산시 서울특별시 광진구 서초대1가 지하797 (미숙김박마을),0,언어장애,1,2025-04-13 12:30:10
30,461213-2801128,박예원,gimgyeongja@example.com,t^^XP8Yw&1,1946-12-13,여,010-7049-3426,66387,경기도 광주시 부산광역시 남구 선릉가 348-59,1,[],0,2024-11-14 08:07:45
31,680816-1450533,이상훈,yeongjabag@example.org,@F)%NTdIq1,1968-08-16,남,010-6794-7658,50953,경기도 안성시 부산광역시 영등포구 테헤란가 359-72 (상호이김리),1,[],0,2024-10-06 04:11:08
32,951110-1226025,강은주,gangareum@example.net,dAD0qTFi%#,1995-11-10,남,010-5065-5371,54681,경기도 안산시 전라남도 용인시 처인구 석촌호수102길 279,1,"['청각장애','언어장애']",1,2025-04-03 02:15:09
33,710502-2073375,이서윤,isangho@example.net,_$9W!APq6C,1971-05-02,여,010-4728-4652,26932,경기도 수원시 제주특별자치도 제천시 서초대거리 883 (진우박동),1,언어장애,1,2024-02-25 22:35:34
34,961121-2541458,오영자,ihyeonsug@example.org,&76WQlAD)0,1996-11-21,여,010-9785-6425,56019,경기도 수원시 충청남도 부천시 강남대길 157,1,"['청각장애','언어장애']",1,2024-06-15 18:54:09
35,900904-2294019,황영식,kjang@example.net,B_MY9KE^Mu,1990-09-04,여,010-6663-6139,87867,경기도 광주시 경상남도 서산시 반포대길 488-65 (하은박면),1,"['청각장애','언어장애']",1,2024-08-13 01:02:19
36,040324-4934060,김정자,nbag@example.org,Im5kZJ&c9^,2004-03-24,여,010-6967-8066,86380,경기도 고양시 전라남도 용인시 처인구 테헤란148가 687,0,청각장애,1,2023-06-22 19:23:14
37,870306-2148465,백미숙,bbag@example.com,%NG_^k*jn2,1987-03-06,여,010-5844-3085,88282,경기도 남양주시 충청북도 동두천시 백제고분길 421 (영숙김박면),0,"['청각장애','언어장애']",1,2025-03-14 01:13:23
38,900314-2299468,김현우,mbae@example.com,i9PIOoWq_N,1990-03-14,여,010-5978-5700,20993,경기도 남양주시 전라북도 삼척시 선릉로 906-45,0,[],0,2024-11-14 18:10:52
39,010122-4777387,이성훈,idoyun@example.org,_9Zd_ee!+5,2001-01-22,여,010-2389-5649,24573,경기도 하남시 인천광역시 도봉구 도산대길 65-15 (선영김박읍),0,청각장애,1,2024-02-19 06:44:34
40,880219-1343320,이영호,yeongmigim@example.com,k@@8$RFhEq,1988-02-19,남,010-5011-8784,27486,경기도 안성시 대전광역시 금천구 가락7가 65,1,[],0,2023-11-20 23:24:36
41,871225-2693676,김주원,ijeongnam@example.com,h2(jq7Ibrh,1987-12-25,여,010-3417-1090,75211,경기도 용인시 광주광역시 동구 선릉로 843 (민지이동),0,청각장애,1,2025-03-11 11:48:07
42,640422-1287083,오민준,ci@example.net,^9NbIPhi#o,1964-04-22,남,010-8478-3184,40932,경기도 광명시 대전광역시 서대문구 백제고분길 지하972 (준서권최마을),0,[],0,2023-11-24 03:59:13
43,660908-2986872,성경수,myeongjai@example.net,e4XdYi_^@e,1966-09-08,여,010-8373-5246,49315,경기도 화성시 충청북도 포천시 봉은사길 810,0,"['청각장애','언어장애']",1,2023-12-07 20:37:26
44,740609-2347143,박현지,subingim@example.com,imQxZLnD&7,1974-06-09,여,010-6502-6238,17263,경기도 오산시 대구광역시 도봉구 역삼거리 971,1,언어장애,1,2024-01-10 20:02:02
45,010912-3236231,김은주,seojun49@example.net,VU08UCf$p@,2001-09-12,남,010-7678-6421,91016,경기도 오산시 세종특별자치시 북구 가락73가 75,0,"['청각장애','언어장애']",1,2025-02-03 22:22:51
46,860423-2036690,박성현,jeongnamo@example.net,FT6E7y*9G^,1986-04-23,여,010-8814-1096,50988,경기도 파주시 충청북도 철원군 서초중앙70로 469-31,0,"['청각장애','언어장애']",1,2023-08-15 16:21:35
47,570605-2688937,박중수,ai@example.org,FI2$TExGL&,1957-06-05,여,010-5471-8140,58915,경기도 군포시 대전광역시 강동구 논현가 47-5 (예은송마을),1,청각장애,1,2024-01-04 23:45:24
48,720306-2562729,이은영,junhyeoggang@example.com,)eAmQbyqk5,1972-03-06,여,010-7455-1444,95929,경기도 고양시 경기도 서산시 역삼962길 971-90,0,[],0,2024-07-08 01:38:16
49,510103-1720465,김정수,nbag@example.com,QTz0WwMeS+,1951-01-03,남,010-8449-6355,42311,경기도 시흥시 광주광역시 성북구 양재천375가 957-93 (우진최정리),0,청각장애,1,2023-05-06 00:58:13
50,940323-2641708,이수빈,ijinho@example.com,+7TG(gg$s4,1994-03-23,여,010-6733-4673,53292,경기도 의왕시 강원도 청주시 흥덕구 압구정길 489 (유진이면),1,[],0,2025-03-19 12:42:49
51,830914-1033092,최영진,baegseonghun@example.org,1h69ZAWp!L,1983-09-14,남,010-3068-8758,35272,경기도 양평군 대전광역시 동대문구 가락20거리 지하582,1,청각장애,1,2025-02-13 10:29:03
52,850610-1745299,윤영순,fbag@example.com,_1!FLeCVU7,1985-06-10,남,010-3683-6096,71000,경기도 용인시 대구광역시 서대문구 봉은사459길 490-20 (옥자조이마을),1,[],0,2023-09-10 07:22:49
53,991226-2966319,류지연,bagmiyeong@example.com,9sDR0pKb@O,1999-12-26,여,010-2669-5941,77272,경기도 양평군 경상남도 보령시 잠실가 지하741 (준혁류읍),1,청각장애,1,2024-10-26 10:28:31
54,790731-1586518,김현준,mingyeongja@example.com,i2YJzeqt&c,1979-07-31,남,010-1207-7882,33392,경기도 군포시 제주특별자치도 부천시 오정구 압구정로 690 (미정류김면),1,언어장애,1,2023-05-25 06:58:06
55,531007-2572628,권경희,bgang@example.org,#WeDtH54$1,1953-10-07,여,010-9817-8921,51799,경기도 광명시 인천광역시 도봉구 오금길 282-8 (수진이리),0,언어장애,1,2023-09-06 21:19:05
56,470301-2531473,이옥자,ti@example.com,o#e8tPxh)5,1947-03-01,여,010-7209-6511,58637,경기도 수원시 인천광역시 중구 개포990로 742,0,"['청각장애','언어장애']",1,2023-12-29 19:05:05
57,850405-2273545,백성민,gimseungmin@example.net,W@t7jHRw7P,1985-04-05,여,010-5526-1166,58589,경기도 하남시 울산광역시 중구 테헤란로 958-75 (재현김김마을),1,언어장애,1,2023-09-27 17:35:56
58,950220-1367837,임선영,pju@example.net,*07FtSx%#o,1995-02-20,남,010-8342-1282,18908,경기도 고양시 경기도 고양시 일산동구 영동대9가 7,0,"['청각장애','언어장애']",1,2024-04-20 22:29:00
59,761007-1634957,오영철,gwangsu62@example.org,@8m7HFETh4,1976-10-07,남,010-7971-6419,72390,경기도 파주시 서울특별시 강남구 학동가 580-13,0,언어장애,1,2024-02-16 16:21:31
60,981119-2443135,배정수,ei@example.net,#uBSVhvH%8,1998-11-19,여,010-9779-4033,53480,경기도 남양주시 충청북도 청주시 청원구 서초대거리 448 (정자이마을),1,[],0,2025-02-21 15:06:17
61,020720-4498941,김수민,wbag@example.net,&6j96FvGk+,2002-07-20,여,010-5853-4727,50405,경기도 파주시 전라남도 음성군 봉은사1길 571-72 (상현김최마을),1,청각장애,1,2024-02-05 23:46:36
62,801013-2082400,이성훈,oboram@example.org,GFA8%KJv^),1980-10-13,여,010-3068-9042,27758,경기도 용인시 서울특별시 서대문구 백제고분57거리 140-39 (선영한박읍),1,언어장애,1,2023-12-15 04:43:34
63,030221-4777520,한영식,jeongsigi@example.com,VS^S1MSg9d,2003-02-21,여,010-8827-2869,41722,경기도 고양시 대구광역시 강남구 개포7가 548 (민서안이마을),0,언어장애,1,2025-03-29 20:11:42
64,800711-2190229,김정남,sunjagim@example.net,xJY7PkUU_6,1980-07-11,여,010-2395-5066,13219,경기도 용인시 강원도 김포시 학동2거리 467 (미영이동),0,언어장애,1,2025-02-18 03:48:47
65,710112-1867749,이준서,gimjeongho@example.org,QSC2MlXha_,1971-01-12,남,010-6003-1986,60965,경기도 안성시 인천광역시 중랑구 학동182거리 469,1,"['청각장애','언어장애']",1,2024-09-12 04:17:18
66,510403-1341232,차성수,lgang@example.org,0bOtVbt5^5,1951-04-03,남,010-3564-1043,28070,경기도 광주시 경상북도 안산시 단원구 가락282가 192-41 (수빈문곽리),0,[],0,2024-08-24 03:23:05
67,520818-2403447,박예진,ci@example.com,ka#4SjTj#1,1952-08-18,여,010-4824-5334,58085,경기도 의왕시 세종특별자치시 금천구 선릉로 896,1,[],0,2024-12-07 16:56:38
68,050405-4183242,류시우,hwangyeongil@example.net,Yt_3W%D8)5,2005-04-05,여,010-1977-3718,27771,경기도 의정부시 경기도 의왕시 테헤란길 849-32 (명숙최이리),0,[],0,2024-03-15 17:27:39
69,670310-2174648,황영순,yeonghyi57@example.com,o&xY9Aky^n,1967-03-10,여,010-8172-2317,85750,경기도 안성시 경상남도 가평군 도산대로 128,1,"['청각장애','언어장애']",1,2023-06-16 08:53:04
70,001230-4594013,진승현,jiyeongi@example.com,F@5HAd5ceI,2000-12-30,여,010-5415-1659,39647,경기도 안산시 경기도 수원시 봉은사27로 92-94 (상현이면),0,[],0,2023-08-15 14:39:38
71,520901-2429671,김혜진,minjaecoe@example.net,fY_2cOl*hV,1952-09-01,여,010-6700-7690,46302,경기도 시흥시 인천광역시 금천구 압구정438길 662-7,0,"['청각장애','언어장애']",1,2024-11-07 04:54:26
72,920212-1256746,이상호,baghyeonju@example.com,J20MM^s@^u,1992-02-12,남,010-8451-2442,93956,경기도 시흥시 전라북도 안양시 학동328거리 650,0,[],0,2024-11-22 01:06:17
73,901110-2168087,이영희,minsugim@example.com,%@70Tt!ODQ,1990-11-10,여,010-1888-4073,13847,경기도 하남시 울산광역시 강북구 강남대로 524 (민석고김읍),0,"['청각장애','언어장애']",1,2024-08-08 21:38:39
74,591112-2703482,오서윤,gimjia@example.org,u!x#7La46m,1959-11-12,여,010-8178-8941,58864,경기도 용인시 서울특별시 동대문구 서초대로 899,1,언어장애,1,2023-07-06 09:02:56
75,720903-1248086,이유진,ijaehyeon@example.com,9xzjgHo++@,1972-09-03,남,010-4681-2858,50306,경기도 광명시 인천광역시 구로구 선릉가 지하996,1,[],0,2023-11-14 10:14:16
76,050212-3748467,허지후,xhan@example.com,PZHV+1Sdou,2005-02-12,남,010-4993-8483,40619,경기도 오산시 인천광역시 광진구 테헤란로 478-41,1,"['청각장애','언어장애']",1,2024-09-23 01:19:08
77,690206-2398214,김숙자,jimin12@example.net,nC&9EPBg%#,1969-02-06,여,010-6568-9318,22415,경기도 평택시 강원도 광명시 압구정로 203 (준서강윤마을),1,"['청각장애','언어장애']",1,2024-05-17 16:32:29
78,800121-2499727,엄상철,fsong@example.com,@UOb#c0310,1980-01-21,여,010-6654-6446,94840,경기도 오산시 세종특별자치시 마포구 도산대4가 205-83 (숙자송동),0,"['청각장애','언어장애']",1,2025-02-20 08:53:13
79,040827-4533963,정영식,junyeong20@example.com,)%zAizz*a3,2004-08-27,여,010-1715-6213,56504,경기도 안양시 충청북도 구리시 영동대059길 지하972,0,"['청각장애','언어장애']",1,2024-11-13 09:08:28
80,551014-2627028,박숙자,dgim@example.org,N3AlDqlq)_,1955-10-14,여,010-2644-8213,19506,경기도 용인시 울산광역시 영등포구 삼성거리 162-94 (은영성윤읍),0,언어장애,1,2025-04-12 22:13:12
81,870611-1262174,강아름,junseoseo@example.com,wX2zx#Wax#,1987-06-11,남,010-7512-2315,53406,경기도 시흥시 인천광역시 은평구 역삼157로 256,0,언어장애,1,2024-06-05 17:17:09
82,860802-2780913,오명숙,kseo@example.com,F*6ULrLl#@,1986-08-02,여,010-4727-2480,59212,경기도 광주시 강원도 천안시 서북구 삼성가 966-84,1,언어장애,1,2024-01-03 05:26:12
83,540515-1724005,김상철,jungsucoe@example.net,(4HVO%!jmY,1954-05-15,남,010-5806-6873,37125,경기도 파주시 전라북도 안양시 봉은사67가 658,0,[],0,2025-01-31 03:41:48
84,770630-1386922,이영희,jinho43@example.com,d*bEIh4y)0,1977-06-30,남,010-2293-7267,72424,경기도 안성시 부산광역시 서대문구 서초대길 178 (현정송읍),1,청각장애,1,2023-09-04 06:13:05
85,461127-2923747,김지은,jeongsungim@example.net,Hr1LMkYQJ@,1946-11-27,여,010-1153-8622,80206,경기도 의정부시 울산광역시 강북구 가락99가 283 (성수조한동),1,언어장애,1,2023-06-18 10:53:19
86,680612-1759464,김예은,jiweon05@example.com,cx44hjPw%&,1968-06-12,남,010-5949-4263,59009,경기도 김포시 대구광역시 용산구 서초대28로 897,0,"['청각장애','언어장애']",1,2025-01-23 06:25:57
87,950210-1369594,박지훈,yejunryu@example.net,&1LxVSan7n,1995-02-10,남,010-1359-7484,16507,경기도 평택시 충청남도 고양시 일산서구 오금길 526,1,언어장애,1,2024-12-23 14:26:34
88,450711-1974395,김하은,seonyeonggim@example.com,ZJFDWwcm)4,1945-07-11,남,010-4115-5106,49121,경기도 양평군 세종특별자치시 용산구 강남대544거리 530,1,청각장애,1,2024-11-12 04:52:43
89,901230-1047095,송은영,yeongsun07@example.com,gV6mMmcZ%v,1990-12-30,남,010-2476-5835,96194,경기도 시흥시 전라북도 안양시 동안구 테헤란482거리 364,0,청각장애,1,2025-02-07 09:51:03
90,571204-1328588,손성호,gyeongsug17@example.org,^r9qGASt__,1957-12-04,남,010-3695-5210,51469,경기도 군포시 강원도 정선군 가락5로 281,0,언어장애,1,2025-01-17 18:30:03
91,570128-2171236,김지우,gimjinu@example.com,!R&6PmR@!g,1957-01-28,여,010-2479-7464,23462,경기도 수원시 제주특별자치도 논산시 역삼0거리 746 (진우임김리),0,언어장애,1,2024-11-07 06:20:28
92,660321-1754965,허영순,yeongsigmin@example.org,+0a#q6Sqza,1966-03-21,남,010-4830-8724,59840,경기도 수원시 광주광역시 강서구 논현로 678-13,0,[],0,2023-09-06 20:21:51
93,840918-1174612,김지은,bagsubin@example.com,@jn1EP+gtc,1984-09-18,남,010-1609-5986,11671,경기도 군포시 부산광역시 서구 테헤란8로 660,1,[],0,2023-11-05 10:04:45
94,580528-1382675,박동현,jiyeongo@example.com,(_5!_Nxsw7,1958-05-28,남,010-3531-7797,62461,경기도 의왕시 전라북도 의정부시 선릉212로 427 (은주장김리),1,"['청각장애','언어장애']",1,2025-04-13 09:47:09
95,911031-2964053,양지민,gyeonghyibag@example.com,aCq0hfiwq*,1991-10-31,여,010-8285-4868,73167,경기도 파주시 울산광역시 광진구 압구정길 873-64 (민준박읍),1,"['청각장애','언어장애']",1,2024-07-11 19:00:42
96,640627-2850643,최영미,minjunbag@example.net,Byh1P#So*x,1964-06-27,여,010-8450-2501,54676,경기도 양평군 서울특별시 서구 반포대거리 485-92 (예은김권읍),1,[],0,2023-11-11 09:29:12
97,440608-1053293,송유진,yeonghyi02@example.com,XDuHLjfi#6,1944-06-08,남,010-4394-4538,27647,경기도 화성시 경기도 고성군 잠실가 947-66 (영자김읍),0,[],0,2024-01-06 15:05:43
98,500815-1904228,이춘자,sgu@example.org,L)I6Kjdpe%,1950-08-15,남,010-3858-2801,98129,경기도 양평군 충청북도 화천군 봉은사87가 899,1,언어장애,1,2024-08-14 12:19:34
99,951227-1053950,김민서,gimogja@example.org,d9h4E*bg%g,1995-12-27,남,010-5347-1858,97096,경기도 부천시 울산광역시 서대문구 오금80로 636,0,청각장애,1,2024-12-02 15:46:51
100,970420-1177589,김재현,yujin89@example.org,+c103JJo)V,1997-04-20,남,010-8405-9254,30290,경기도 화성시 대구광역시 노원구 가락거리 지하809,1,[],0,2025-01-09 17:52:24
